model_key,relation_key,relation_group,relation_name,n_total,n_value,hall_rate_given_value,acc_given_value,delta_cos_mean_value,pass_denom,in_intersection,include_final,drop_reason
gemma_7b_it,adj_antonym,linguistic,adjective antonym,25,25,0.28,0.72,0.6385935831069947,True,True,True,kept_intersection
gemma_7b_it,adj_comparative,linguistic,adjective comparative,17,17,0.058823529411764705,0.9411764705882353,0.6507961820153629,True,True,True,kept_intersection
gemma_7b_it,adj_superlative,linguistic,adjective superlative,20,20,0.15,0.85,0.6475794941186905,True,True,True,kept_intersection
gemma_7b_it,characteristic_gender,bias,characteristic gender,8,8,0.5,0.5,0.792833000421524,False,False,False,dropped_low_denom
gemma_7b_it,city_in_country,factual,city in country,7,7,0.0,1.0,0.7192582573209491,False,False,False,dropped_low_denom
gemma_7b_it,company_ceo,factual,company CEO,75,62,0.6451612903225806,0.3548387096774194,0.44114732646173044,True,True,True,kept_intersection
gemma_7b_it,company_hq,factual,company hq,169,145,0.47586206896551725,0.5241379310344828,0.6456495455626784,True,True,True,kept_intersection
gemma_7b_it,country_capital_city,factual,country capital city,6,6,0.0,1.0,0.6861083507537842,False,False,False,dropped_low_denom
gemma_7b_it,country_currency,factual,country currency,8,8,0.125,0.875,0.556311558932066,False,False,False,dropped_low_denom
gemma_7b_it,country_language,factual,country language,6,6,0.0,1.0,0.755040317773819,False,False,False,dropped_low_denom
gemma_7b_it,country_largest_city,factual,country largest city,6,6,0.16666666666666666,0.8333333333333334,0.6861820121606191,False,False,False,dropped_low_denom
gemma_7b_it,degree_gender,bias,univ degree gender,10,10,0.9,0.1,0.8096145033836365,False,False,False,dropped_low_denom
gemma_7b_it,food_from_country,factual,food from country,8,8,0.0,1.0,0.7346063107252121,False,False,False,dropped_low_denom
gemma_7b_it,fruit_inside_color,commonsense,fruit inside color,9,9,0.3333333333333333,0.6666666666666666,0.7938538789749146,False,False,False,dropped_low_denom
gemma_7b_it,fruit_outside_color,commonsense,fruit outside color,8,8,0.25,0.75,0.754430316388607,False,False,False,dropped_low_denom
gemma_7b_it,landmark_in_country,factual,landmark in country,209,184,0.34782608695652173,0.6521739130434783,0.7511632251350776,True,True,True,kept_intersection
gemma_7b_it,landmark_on_continent,factual,landmark on continent,237,214,0.6308411214953271,0.3691588785046729,0.7918879331272339,True,True,True,kept_intersection
gemma_7b_it,name_birthplace,bias,name birthplace,8,5,0.4,0.6,0.7900289058685303,False,False,False,dropped_low_denom
gemma_7b_it,name_gender,bias,name gender,5,5,0.6,0.4,0.8023393034934998,False,False,False,dropped_low_denom
gemma_7b_it,name_religion,bias,name religion,8,4,0.0,1.0,0.7576356679201126,False,False,False,dropped_low_denom
gemma_7b_it,object_superclass,commonsense,object superclass,19,19,0.15789473684210525,0.8421052631578947,0.7768007046297977,True,True,True,kept_intersection
gemma_7b_it,occupation_age,bias,occupation age,12,12,0.4166666666666667,0.5833333333333334,0.7480820268392563,True,True,True,kept_intersection
gemma_7b_it,occupation_gender,bias,occupation gender,5,5,0.8,0.2,0.7675041794776917,False,False,False,dropped_low_denom
gemma_7b_it,person_band_lead_singer,factual,person lead singer of band,6,6,0.0,1.0,0.5189714729785919,False,False,False,dropped_low_denom
gemma_7b_it,person_father,factual,person father,248,41,0.7804878048780488,0.21951219512195122,0.47581848792913484,True,True,True,kept_intersection
gemma_7b_it,person_mother,factual,person mother,249,43,0.7674418604651163,0.23255813953488372,0.4346362012763356,True,True,True,kept_intersection
gemma_7b_it,person_native_language,bias,person native language,230,224,0.19642857142857142,0.8035714285714286,0.7855192433510508,True,True,True,kept_intersection
gemma_7b_it,person_occupation,factual,person occupation,206,174,0.8793103448275862,0.1206896551724138,0.7709846404092066,True,True,True,kept_intersection
gemma_7b_it,person_plays_instrument,factual,person plays instrument,129,129,0.5116279069767442,0.4883720930232558,0.8002230677493783,True,True,True,kept_intersection
gemma_7b_it,person_plays_position_in_sport,factual,person sport position,238,237,0.6835443037974683,0.31645569620253167,0.7598226052799305,True,True,True,kept_intersection
gemma_7b_it,person_plays_pro_sport,factual,plays pro sport,80,80,0.1625,0.8375,0.7855781681835652,True,True,True,kept_intersection
gemma_7b_it,person_university,factual,person university,23,23,0.9565217391304348,0.043478260869565216,0.6384599027426346,True,True,True,kept_intersection
gemma_7b_it,pokemon_evolutions,factual,pokemon evolution,11,11,0.8181818181818182,0.18181818181818182,0.5032450231638822,True,False,False,dropped_not_in_intersection
gemma_7b_it,presidents_birth_year,factual,president birth year,5,4,1.0,0.0,0.6894659996032715,False,False,False,dropped_low_denom
gemma_7b_it,presidents_election_year,factual,president election year,5,5,0.4,0.6,0.6933068633079529,False,False,False,dropped_low_denom
gemma_7b_it,product_by_company,factual,product by company,131,131,0.26717557251908397,0.732824427480916,0.6393634699683153,True,True,True,kept_intersection
gemma_7b_it,star_constellation,factual,star constellation name,91,91,0.2857142857142857,0.7142857142857143,0.6581429557485895,True,True,True,kept_intersection
gemma_7b_it,substance_phase,commonsense,substance phase of matter,13,13,0.0,1.0,0.7931288939255935,True,True,True,kept_intersection
gemma_7b_it,superhero_archnemesis,factual,superhero archnemesis,24,24,0.7083333333333334,0.2916666666666667,0.4780444862941901,True,True,True,kept_intersection
gemma_7b_it,superhero_person,factual,superhero person,25,24,0.5416666666666666,0.4583333333333333,0.5257179078956445,True,True,True,kept_intersection
gemma_7b_it,task_done_by_person,commonsense,task person type,8,8,0.375,0.625,0.6426203399896622,False,False,False,dropped_low_denom
gemma_7b_it,task_done_by_tool,commonsense,task done by tool,13,13,0.5384615384615384,0.46153846153846156,0.5854925238169156,True,True,True,kept_intersection
gemma_7b_it,verb_past_tense,linguistic,verb past tense,19,19,0.0,1.0,0.7157633806529798,True,True,True,kept_intersection
gemma_7b_it,word_first_letter,linguistic,word first letter,61,61,0.0,1.0,0.7192797773197049,True,True,True,kept_intersection
gemma_7b_it,word_last_letter,linguistic,word last letter,61,61,0.2459016393442623,0.7540983606557377,0.7038381705518628,True,True,True,kept_intersection
gemma_7b_it,word_sentiment,commonsense,word sentiment,15,15,0.06666666666666667,0.9333333333333333,0.8014900128046671,True,True,True,kept_intersection
gemma_7b_it,work_location,commonsense,work location,10,10,0.4,0.6,0.6508609414100647,False,False,False,dropped_low_denom
llama3_1_8b_instruct,adj_antonym,linguistic,adjective antonym,25,25,0.32,0.68,0.5989082562923431,True,True,True,kept_intersection
llama3_1_8b_instruct,adj_comparative,linguistic,adjective comparative,17,17,0.0,1.0,0.6558967092457939,True,True,True,kept_intersection
llama3_1_8b_instruct,adj_superlative,linguistic,adjective superlative,20,20,0.2,0.8,0.6477795511484146,True,True,True,kept_intersection
llama3_1_8b_instruct,characteristic_gender,bias,characteristic gender,8,8,0.0,1.0,0.7838612943887711,False,False,False,dropped_low_denom
